recipe,season,protein,dairy_work,published_time,real_time,serves,instant_pot,source,file
Sheet-Pan Lemon Chicken with Potatoes and Green Beans,Year-round,Chicken,,45 minutes,,4,,PantryOS starter,Sheet-Pan Lemon Chicken with Potatoes and Green Beans.md
Black Bean and Sweet Potato Tacos,Year-round,Beans,,35 minutes,,4,,PantryOS starter,Black Bean and Sweet Potato Tacos.md
Garlic Butter Salmon with Broccoli and Rice,Year-round,Salmon,,30 minutes,,4,,PantryOS starter,Garlic Butter Salmon with Broccoli and Rice.md
Chickpea and Spinach Coconut Curry,Year-round,Chickpeas,,30 minutes,,4,,PantryOS starter,Chickpea and Spinach Coconut Curry.md
Beef and Broccoli Stir-Fry with Rice,Year-round,Beef,,35 minutes,,4,,PantryOS starter,Beef and Broccoli Stir-Fry with Rice.md
Greek Chicken Bowls with Cucumber and Feta,Summer,Chicken,,40 minutes,,4,,PantryOS starter,Greek Chicken Bowls with Cucumber and Feta.md
Hearty Vegetable and White Bean Soup,Winter,Veg,,50 minutes,,6,,PantryOS starter,Hearty Vegetable and White Bean Soup.md
Shrimp Fajitas with Peppers and Onions,Year-round,Shrimp,,30 minutes,,4,,PantryOS starter,Shrimp Fajitas with Peppers and Onions.md
Turkey and Zucchini Skillet Pasta,Year-round,Turkey,,35 minutes,,4,,PantryOS starter,Turkey and Zucchini Skillet Pasta.md
Vegetable Fried Rice with Eggs,Year-round,Eggs,,25 minutes,,4,,PantryOS starter,Vegetable Fried Rice with Eggs.md
